id	title	url	cover	rate	director	composer	actor	category	district	language	showtime	lenth	concluding
1469105	阿尔卡特兹的养鸟人	http://movie.douban.com/subject/1469105/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p2177272586.jpg	8.9	约翰·弗兰克海默	盖伊·特鲁斯佩尔	伯特·兰卡斯特/卡尔·莫尔登/瑟尔玛·瑞特/内维尔·布兰德/贝蒂·菲尔德	剧情/传记	United States of America_美国	英语	1959	147	TOP
1303065	泥之河	http://movie.douban.com/subject/1303065/	http://img4.douban.com/lpic/s4511897.jpg	8.9	小栗康平	重森孝子	田村高广/加贺麻理子/藤田弓子	剧情	Japan_日本	日语	2006	105	TOP
1294998	看狗在说话	http://movie.douban.com/subject/1294998/	http://img3.douban.com/lpic/s1795383.jpg	8.9	Duwayne Dunham	卡罗琳·汤普森/琳达·伍尔芙顿/Sheila Burnford	迈克尔·J·福克斯/金·格雷斯特/Ed Bernard	剧情/喜剧/家庭/冒险	United States of America_美国	英语	1952	84	TOP
1302463	千面佳人	http://movie.douban.com/subject/1302463/	http://img3.douban.com/lpic/s11149384.jpg	8.9	阿瑟·希勒	George Wells/Howard Fast	娜塔利·伍德/伊安·邦纳/彼得·法尔克	喜剧/犯罪	United States of America_美国	英语	2013	97	TOP
1470383	摇滚乐的历史第一集	http://movie.douban.com/subject/1470383/	http://img3.douban.com/lpic/s1689631.jpg	8.9	Andrew Solt		Gary Busey/Chuck Berry/Pat Boone/Ruth Brown/Ray Charles/Bo Diddley/Bruce Springsteen/Big Joe Turner/Fats Domino/Bill Haley/Jimi Hendrix/Carl Perkins/Elvis Presley/Buddy Holly/Little Richard/Ray Manzarek/Louis Jordan		United States of America_美国	英语	2014		TOP
1477916	心理游戏	http://movie.douban.com/subject/1477916/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p453762724.jpg	8.9	汤浅政明	汤浅政明/Robin Nishi	今田耕司/藤井隆/山口智充/Sayaka Maeda/Seiko Takuma/Toshio Sakata/Joji Shimaki/西凛太朗/Kenichi Chujou	喜剧/动画/悬疑/冒险	Japan_日本	日语	2004	103	TOP
1460341	佛兰德斯的狗	http://movie.douban.com/subject/1460341/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p453890966.jpg	8.9	黑田昌郎 Yoshio Kuroda	丸尾美穗 Miho Maruo/奥维达	Brady Bluhm/Debi Derryberry/罗伯特·劳吉亚	剧情/爱情/动画	Japan_日本/United States of America_美国	日语	1997	104	TOP
1298817	淘金记	http://movie.douban.com/subject/1298817/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2210784973.jpg	8.9	查理·卓别林	查理·卓别林	查理·卓别林/马克·斯旺/乔治亚·黑尔	喜剧/爱情/家庭/西部/冒险	United States of America_美国	英语	1925		TOP
1298107	大都会	http://movie.douban.com/subject/1298107/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p906689323.jpg	8.9	弗里茨·朗	特娅·冯·哈堡	阿弗莱德·阿贝尔/古斯塔夫·佛力施/布里吉特·赫尔姆/鲁道夫·克莱恩-鲁格	剧情/科幻/冒险	Germany_德国	无对白	1927	153	TOP
2078398	听见天堂	http://movie.douban.com/subject/2078398/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p501470993.jpg	8.9	克里斯提诺·波顿	克里斯提诺·波顿/Paolo Sassanelli/Monica Zapelli	Luca Capriotti/Francesco Campobasso/马可·科奇/Patrizia La Fonte/Michele Iorio	剧情	Italy_意大利	意大利语	2006	96	TOP
11584019	海洋之歌	http://movie.douban.com/subject/11584019/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2233260210.jpg	8.8	汤姆·摩尔	Will Collins/汤姆·摩尔	大卫·罗尔/布莱丹·格里森/丽莎·汉尼根/菲奥纽拉·弗拉纳根/露西·奥康奈尔/帕特·绍特/乔·肯尼	剧情/动画/奇幻	Ireland_爱尔兰/Denmark_丹麦/Belgium_比利时/Luxembourg_卢森堡/France_法国	英语/爱尔兰语/苏格兰盖尔语	2017	93	TOP
1309046	V字仇杀队	http://movie.douban.com/subject/1309046/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1465235231.jpg	8.8	詹姆斯·麦克特格	安迪·沃卓斯基/拉娜·沃卓斯基	娜塔莉·波特曼/雨果·维文/鲁珀特·格雷夫斯/斯蒂芬·瑞/斯蒂芬·弗雷/伊莫琴·普茨/约翰·赫特/蒂姆·皮戈特-史密斯/罗杰·阿拉姆/约翰·斯坦丁/西妮德·库萨克/娜塔莎·怀特曼/本·迈尔斯	剧情/动作/科幻/惊悚	United States of America_美国/United Kingdom_英国/Germany_德国	英语	2011	132	TOP
1907966	疯狂原始人	http://movie.douban.com/subject/1907966/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1867084027.jpg	8.8	柯克·德·米科 / 克里斯·桑德斯	克里斯·桑德斯/柯克·德·米科	尼古拉斯·凯奇/瑞恩·雷诺兹/艾玛·斯通/凯瑟琳·基纳/克拉克·杜克/克劳斯·利特曼/克里斯·桑德斯/兰迪·汤姆	喜剧/动画/冒险	United States of America_美国	英语	2012	98	TOP
1292215	天使爱美丽	http://movie.douban.com/subject/1292215/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p803896904.jpg	8.8	让-皮埃尔·热内	吉罗姆·洛朗/让-皮埃尔·热内	奥黛丽·塔图/马修·卡索维茨/贾梅尔·杜布兹/罗瑞娜·克拉沃塔/多米尼克·皮诺/伊莎贝拉·南蒂/友兰达·梦露/鲁费斯/克莱尔·莫里耶/艾特·迪·彭吉云/莫里斯·本尼丘/米切尔·罗宾/塞尔·梅林/克洛蒂尔德·莫莱特/乌尔拜恩·坎塞里尔/克劳德·佩龙	喜剧/爱情	France_法国/Germany_德国	法语/俄语	2001	122	TOP
1780330	致命魔术	http://movie.douban.com/subject/1780330/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p480383375.jpg	8.8	克里斯托弗·诺兰	乔纳森·诺兰/克里斯托弗·诺兰/克里斯托弗·普瑞丝特	克里斯蒂安·贝尔/休·杰克曼/迈克尔·凯恩/斯嘉丽·约翰逊/丽贝卡·豪尔/大卫·鲍伊/安迪·瑟金斯	剧情/悬疑/惊悚	United States of America_美国/United Kingdom_英国	英语	2002	130	TOP
1308807	哈尔的移动城堡	http://movie.douban.com/subject/1308807/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2174346180.jpg	8.8	宫崎骏	宫崎骏/吉田玲子	倍赏千惠子/木村拓哉/美轮明宏/我修院达也/神木隆之介	爱情/动画/奇幻/冒险	Japan_日本	日语	1999	119	TOP
4917726	阳光姐妹淘	http://movie.douban.com/subject/4917726/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1374786017.jpg	8.8	姜炯哲	姜炯哲	沈恩京/闵孝琳/姜素拉/南宝拉/陈熙京/金时厚/柳好贞/朴真珠/金甫美/千禹熙/李璟荣	剧情/喜剧	South Korea_韩国	韩语	1961	124	TOP
1292220	情书	http://movie.douban.com/subject/1292220/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p449897379.jpg	8.8	岩井俊二	岩井俊二	中山美穗/酒井美纪/柏原崇/丰川悦司/光石研/范文雀/篠原胜之/加贺麻理子	剧情/爱情	Japan_日本	日语	2006	117	TOP
1301753	狮子王	http://movie.douban.com/subject/1301753/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p722758217.jpg	8.8	罗杰·阿勒斯 / 罗伯·明可夫	艾琳·梅琪/乔纳森·罗伯特/琳达·伍尔芙顿	乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/埃林·萨贝拉/乌比·戈德堡/罗温·艾金森	剧情/动画/歌舞/家庭/冒险	United States of America_美国	英语/斯瓦希里语/科萨语/祖鲁语	1995	89	TOP
2149806	入殓师	http://movie.douban.com/subject/2149806/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p594972928.jpg	8.8	泷田洋二郎	小山薰堂	本木雅弘/广末凉子/山崎努/吉行和子/笹野高史/余贵美子	剧情	Japan_日本	日语	2006	130	TOP
1294639	勇敢的心	http://movie.douban.com/subject/1294639/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1374546770.jpg	8.8	梅尔·吉布森	兰道尔·华莱士	梅尔·吉布森/苏菲·玛索/布莱恩·考克斯/詹姆斯·卡沙莫/辛·劳洛/凯瑟琳·麦克马克/安古斯·麦克菲登	剧情/动作/传记/历史/战争	United States of America_美国	英语/法语/拉丁语/苏格兰盖尔语	2006	177	TOP
1292849	拯救大兵瑞恩	http://movie.douban.com/subject/1292849/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1014542496.jpg	8.8	史蒂文·斯皮尔伯格	罗伯特·罗达特	汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯/巴里·佩珀/亚当·戈德堡/范·迪塞尔/乔瓦尼·瑞比西/杰瑞米·戴维斯/马特·达蒙/特德·丹森/保罗·吉亚玛提/丹尼斯·法里纳/马克斯·马蒂尼/丹兰·布鲁诺/安德鲁·斯科特	剧情/历史/战争	United States of America_美国	英语/法语/德语/捷克语	2010	169	TOP
1297630	第六感	http://movie.douban.com/subject/1297630/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p918994530.jpg	8.8	M·奈特·沙马兰	M·奈特·沙马兰	布鲁斯·威利斯/海利·乔·奥斯蒙/托妮·科莱特/奥莉维亚·威廉姆斯/唐尼·沃尔伯格	剧情/悬疑/恐怖/家庭	United States of America_美国	英语/拉丁语/西班牙语	2014	107	TOP
3008247	穿条纹睡衣的男孩	http://movie.douban.com/subject/3008247/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1473670352.jpg	8.8	马克·赫尔曼	马克·赫尔曼/约翰·伯恩	阿萨·巴特菲尔德/维拉·法米加/大卫·休里斯/杰克·塞隆/鲁伯特·弗兰德/谢拉·汉考克/大卫·海曼/贝拉·费斯彼姆	剧情/战争	United Kingdom_英国/United States of America_美国	英语	2003	94	TOP
5989818	萤火之森	http://movie.douban.com/subject/5989818/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1272904657.jpg	8.8	大森贵弘	绿川幸	佐仓绫音/内山昂辉	剧情/爱情/动画/奇幻	Japan_日本	日语	1999	45	TOP
1291585	风之谷	http://movie.douban.com/subject/1291585/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1917567652.jpg	8.8	宫崎骏	宫崎骏	岛本须美/京田尚子/松田洋治/麦人/榊原良子	科幻/动画/奇幻/冒险	Japan_日本	日语	1995	117	TOP
1858711	玩具总动员3	http://movie.douban.com/subject/1858711/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1283675359.jpg	8.8	李·昂克里奇	迈克尔·阿恩特/约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇	汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/尼德·巴蒂/唐·里克斯/迈克尔·基顿	喜剧/动画/奇幻/冒险	United States of America_美国	英语/西班牙语	2012	103	TOP
1297052	侧耳倾听	http://movie.douban.com/subject/1297052/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p456692072.jpg	8.8	近藤喜文	宫崎骏/柊葵	本名阳子/小林桂树/高山南/高桥一生/山下容莉枝/室井滋/露口茂/Mayumi Iizuka	剧情/爱情/动画/音乐	Japan_日本	日语/英语	2001	111	TOP
4848115	你看起来好像很好吃	http://movie.douban.com/subject/4848115/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p709670262.jpg	8.8	藤森雅也	宮西達也	山口胜平/加藤清史郎/原田知世/別所哲也	剧情/动画/儿童	Japan_日本	日语	2011	90	TOP
1291822	卢旺达饭店	http://movie.douban.com/subject/1291822/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2159368352.jpg	8.8	特瑞·乔治	凯尔·皮尔森/特瑞·乔治	唐·钱德尔/苏菲·奥康内多/杰昆·菲尼克斯/尼克·诺特/哈基姆·凯-卡西姆	剧情/历史/战争	United Kingdom_英国/South Africa_南非/Italy_意大利/United States of America_美国	英语/法语	2013	121	TOP
1295865	燃情岁月	http://movie.douban.com/subject/1295865/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1023654037.jpg	8.8	爱德华·兹威克	William D. Wittliff/Susan Shilliday	安东尼·霍普金斯/布拉德·皮特/朱莉娅·奥蒙德/艾丹·奎因/卡琳娜·隆巴德/亨利·托马斯	剧情/爱情/家庭/西部	United States of America_美国	英语	2007	133	TOP
1306861	我是山姆	http://movie.douban.com/subject/1306861/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p652417775.jpg	8.8	杰茜·尼尔森	杰茜·尼尔森/克里斯汀·约翰逊	西恩·潘/达科塔·范宁/米歇尔·菲佛/黛安·韦斯特/洛雷塔·迪瓦恩/理查德·希夫/劳拉·邓恩	剧情/家庭	United States of America_美国	英语	2009	132	TOP
1293964	魂断蓝桥	http://movie.douban.com/subject/1293964/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p2180990078.jpg	8.8	茂文·勒鲁瓦	乔治·弗罗斯切尔/Hans Rameau/罗伯特·E·舍伍德/塞缪尔·N·贝尔曼	费雯·丽/罗伯特·泰勒/露塞尔·沃特森/弗吉尼亚·菲尔德/玛丽亚·彭斯卡娅	剧情/爱情/战争	United States of America_美国	英语	2006	108	TOP
3824274	刺猬的优雅	http://movie.douban.com/subject/3824274/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p489369851.jpg	8.8	莫娜·阿查切	莫娜·阿查切/妙莉叶·芭贝里 Muriel Barbery	乔丝安·巴拉思科/佳朗丝·勒·吉耶米克/伊川东吾/安妮·波诺什/阿丽亚娜·阿斯卡里德	剧情	France_法国/Italy_意大利	法语/日语	2011	100	TOP
2363506	地球上的星星	http://movie.douban.com/subject/2363506/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p719262090.jpg	8.8	阿米尔·汗 / 阿莫尔·古普特	阿莫尔·古普特	达席尔·萨法瑞/阿米尔·汗/塔奈·切赫达/萨谢·英吉尼尔/蒂丝卡·乔普拉/维品·沙尔马/阿布舍克·巴强	剧情/家庭	India_印度	印地语/英语	2008	165	TOP
1293181	惊魂记	http://movie.douban.com/subject/1293181/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1021883305.jpg	8.8	阿尔弗雷德·希区柯克	约瑟夫·斯蒂凡诺/罗伯特·布洛克	珍妮特·利/安东尼·博金斯/维拉·迈尔斯/马丁·鲍尔萨姆/约翰·加文	悬疑/恐怖	United States of America_美国	英语	1996	109	TOP
